aa | 嗷嗷   | 爱爱   | 哎哎   | 暗暗   | 昂昂   | 安安   | 熬熬   | 矮矮   | 哀哀   | 凹凹   | 挨挨   | 按按   | 傲岸   | 唉唉   | 蔼蔼   | 艾艾   | 
aai | 爱爱   | 哎哎   | 按爱   | 安爱   | 唉唉   | 挨挨   | 哀哀   | 蔼蔼   | 矮矮   | 皑皑   | 艾艾   | 錒爱   | 啊爱   | 錒爱  | 啊爱  | 按爱  | 
aan | 啊啊女   | 安安   | 暗暗   | 按按   | 傲岸   | AAN   | 錒按  | 啊按  | 啊按  | AAN   | 按按  | 爱按  | 爱按  | 哎按  | 哎按  | 安安  | 
aang | 昂昂   | 安昂   | 安安过   | 安安工   | 錒昂  | 錒昂  | 啊昂  | 啊昂  | 按昂  | 按昂  | 爱昂  | 爱昂  | 哎昂  | 哎昂  | 安昂  | 阿昂  | 
aao | 阿敖   | 嗷嗷   | 熬熬   | 艾奥   | 袄袄   | 凹凹   | 啊啊哦  | 錒奥  | 錒奥  | 啊啊哦  | 啊啊哦  | 按奥  | 按奥  | 爱奥  | 爱奥  | 哎奥  | 
aba | 阿爸   | 爱不爱   | 阿坝   | 按不按   | 阿巴   | 阿八   | ABAQUS   | 熬吧   | 俺爸   | 爱吧   | 奥巴   | 安霸   | 爱拔   | 暗坝   | 錒吧  | 錒吧  | 
abai | 阿白   | 鳌拜   | 爱白   | 安白   | 錒白  | 錒白  | 啊白  | 啊白  | 按白  | 按白  | 爱白  | 哎白  | 哎白  | 安白  | 阿白  | 奥白  | 
aban | A版   | 爱不爱你   | A班   | 阿班   | 凹版   | 案板   | 俺班   | 安办   | 艾粄   | 按板   | 奥班   | 呆板   | 錒班  | abandon   | 錒班  | 啊班  | 
abang | 阿邦   | 安邦   | 奥邦   | 爱帮   | 爱邦   | 錒bang  | 啊bang  | 按bang  | 爱bang  | 哎bang  | 安bang  | 阿bang  | 奥bang  | 唉bang  | 昂bang  | 熬bang  | 
abao | 阿宝   | 阿包   | 阿豹   | 阿爆   | 阿保   | 阿鲍   | 安保   | 敖包   | 爱宝   | 安包   | 暗堡   | 澳宝   | 昂宝   | 安宝   | 奥宝   | 艾宝   | 
abei | 阿贝   | 阿北   | A杯   | 安倍   | 奥贝   | 爱贝   | 奥北   | 安北   | 澳贝   | 安贝   | 坳背   | 艾北   | 錒被  | 錒被  | 啊被  | 啊被  | 
aben | 阿笨   | 阿本   | 庵本   | 氨本   | 案本   | 暗本   | 俺本   | 安本   | 按本   | 奥本   | 岸本   | 錒本  | 錒本  | abend   | 啊本  | 啊本  | 
abeng | 氨泵   | 啊蹦   | 錒beng  | 啊beng  | 按beng  | 爱beng  | 哎beng  | 安beng  | 阿beng  | 奥beng  | 唉beng  | 昂beng  | 熬beng  | 俺beng  | 暗beng  | 案beng  | 
abi | 阿碧   | 阿比   | 阿鼻   | 澳币   | 奥比   | 艾比   | 鞍鼻   | 安比   | 爱彼   | 安币   | 奥币   | 埃比   | 安谧   | 錒比  | ability   | 錒比  | 
abian | 阿扁   | 岸边   | 癌变   | 挨边   | 氨苄   | 錒比按  | 阿边   | 奥比安   | 錒比按  | 錒变  | 錒变  | 啊变  | 啊变  | 按变  | 按变  | 爱彼岸  | 
abiang | 奥比昂   | 安碧昂   | 錒比昂  | 錒比昂  | 阿碧昂  | 阿碧昂  | 阿比昂  | 阿比昂  | 阿鼻昂  | 阿鼻昂  | 澳币昂  | 澳币昂  | 奥比昂  | 奥比昂  | 艾比昂  | 艾比昂  | 
abiao | 阿彪   | 阿标   | 岸标   | 安标   | 暗标   | 爱表   | 錒比奥  | 奥比奥   | 錒比奥  | 錒表  | 錒表  | 啊表  | 啊表  | 按表  | 按表  | 爱表  | 
abie | 啊别   | 錒比额  | 錒比额  | 錒逼额  | 錒逼额  | 啊别  | 按逼额  | 按逼额  | 爱逼额  | 爱逼额  | 哎逼额  | 哎逼额  | 安逼额  | 安逼额  | 阿逼额  | 阿逼额  | 
abin | 阿斌   | 阿彬   | 阿宾   | 安斌   | 錒bin  | 啊bin  | 按bin  | 爱bin  | 哎bin  | 安bin  | 阿bin  | 奥bin  | 唉bin  | 昂bin  | 熬bin  | 俺bin  | 
abing | 阿炳   | 阿冰   | 阿兵   | 癌病   | 暗病   | 艾饼   | 安兵   | 錒病  | 錒病  | 啊病  | 啊病  | 按病  | 按病  | 爱兵  | 爱兵  | 哎病  | 
abo | 阿伯   | 阿波   | 阿卜   | 阿博   | ABO   | 安博   | 奥博   | 爱博   | 艾博   | 安波   | 澳博   | 錒波  | 錒波  | 啊波  | 啊波  | 按波  | 
abu | 阿布   | 阿部   | 阿卜   | 俺不   | 奥布   | 爱步   | 暗部   | 安瓿   | 庵埠   | 爱不   | 安埠   | 安布   | 錒不  | Abu   | 錒不  | 啊不  | 
aca | academic   | 錒擦  | 啊擦  | 啊擦  | academic   | 按擦  | 按擦  | 爱擦  | 爱擦  | 哎擦  | 哎擦  | 安擦  | 安擦  | 阿擦  | 阿擦  | 奥擦  | 
acai | 阿菜   | 阿才   | 阿财   | 阿彩   | 昂才   | 爱财   | 安财   | 熬菜   | 安彩   | 爱才   | 澳彩   | 錒才  | 錒才  | 啊才  | 啊才  | 按才  | 
acan | 敖灿   | 安灿   | 阿餐   | 錒惨  | 錒惨  | 啊惨  | 啊惨  | 按惨  | 按惨  | 爱惨  | 爱惨  | 哎惨  | 哎惨  | 安惨  | 安惨  | 阿餐  | 
acang | 暗藏   | 暗舱   | 昂藏   | 奥藏   | 安仓   | 錒藏  | 錒藏  | 啊藏  | 啊藏  | 按藏  | 按藏  | 爱藏  | 爱藏  | 哎藏  | 哎藏  | 安藏  | 
acao | 凹槽   | 艾草   | 阿草   | 阿擦哦  | 啊擦哦  | 錒擦哦  | 錒草  | 錒草  | 啊草  | 啊草  | 按草  | 按草  | 爱草  | 爱草  | 哎草  | 哎草  | 
ace | ace   | 阿册   | 阿策   | 安策   | 錒测  | ace   | 啊测  | 啊测  | 按测  | 按测  | 爱测  | 爱测  | 哎测  | 哎测  | 安策  | 阿册  | 
acei | 爱吃   | 安驰   | 奥驰   | 啊测i  | 錒测i  | acei  | 阿册i  | 阿策i  | 安策i  | 錒ceiling  | 啊ceiling  | 按ceiling  | 爱ceiling  | 哎ceiling  | 安ceiling  | 阿ceiling  | 
acen | 安岑   | 啊测你   | 阿岑   | 錒cen  | 啊cen  | 按cen  | 爱cen  | 哎cen  | 安cen  | 阿cen  | 奥cen  | 唉cen  | 昂cen  | 熬cen  | 俺cen  | 暗cen  | 
aceng | 阿曾   | 錒层  | 錒层  | 啊层  | 啊层  | 按层  | 按层  | 爱层  | 爱层  | 哎层  | 哎层  | 安层  | 安层  | 阿曾  | 奥层  | 奥层  | 
acha | 阿茶   | 安插   | 暗查   | 錒差  | 錒差  | 啊差  | 啊差  | 按差  | 按差  | 爱差  | 爱差  | 哎差  | 哎差  | 安插  | 阿茶  | 奥差  | 
achai | 安拆   | 阿柴   | 錒拆  | 錒拆  | 啊拆  | 啊拆  | 按拆  | 按拆  | 爱拆  | 爱拆  | 哎拆  | 哎拆  | 安拆  | 阿柴  | 奥拆  | 奥拆  | 
achan | 鞍韂   | 安婵   | 阿产   | 錒产  | 錒产  | 啊产  | 啊产  | 按产  | 按产  | 爱产  | 爱产  | 哎产  | 哎产  | 安产  | 安产  | 阿产  | 
achang | 阿昌   | 阿长   | 案场   | 安昌   | 爱唱   | 暗场   | 安畅   | 艾畅   | 暗娼   | 錒长  | 錒长  | 啊长  | 啊长  | 按长  | 按长  | 爱唱  | 
achao | 阿超   | 挨吵   | 爱巢   | 安超   | 暗潮   | 澳超   | 啊差哦  | 錒差哦  | 錒超  | 錒超  | 啊超  | 啊超  | 按超  | 按超  | 爱巢  | 哎超  | 
ache | ache   | 爱车   | 安车   | 錒车  | 錒车  | 啊车  | 啊车  | 按车  | 按车  | 爱车  | 哎车  | 哎车  | 安车  | 阿车  | 阿车  | 奥车  | 
achen | 阿晨   | 阿辰   | 暗沉   | 艾辰   | 奥宸   | 安辰   | 錒陈  | 錒陈  | 啊陈  | 啊陈  | 按陈  | 按陈  | 爱陈  | 爱陈  | 哎陈  | 哎陈  | 
acheng | 阿城   | 阿成   | 阿诚   | 按成   | 爱称   | 熬成   | 奥城   | 安城   | 安诚   | 安成   | 傲城   | 爱城   | 澳橙   | 奥诚   | 爱成   | 案秤   | 
achi | 安驰   | 奥驰   | 爱吃   | achieve   | 錒吃  | 啊吃  | 啊吃  | achieve   | 按吃  | 按吃  | 爱吃  | 哎吃  | 哎吃  | 安驰  | 阿吃  | 阿吃  | 
achong | 爱宠   | 奥冲   | 爱充   | 安冲   | 安重   | 錒冲  | 錒冲  | 啊冲  | 啊冲  | 按冲  | 按冲  | 爱宠  | 哎冲  | 哎冲  | 安冲  | 阿冲  | 
achou | 阿丑   | 哀愁   | 挨抽   | 錒抽  | 錒抽  | 啊抽  | 啊抽  | 按抽  | 按抽  | 爱抽  | 爱抽  | 哎抽  | 哎抽  | 安抽  | 安抽  | 阿丑  | 
achu | 阿楚   | 暗处   | 爱出   | 熬出   | 按出   | 錒出  | 錒出  | 啊出  | 啊出  | 按出  | 爱出  | 哎出  | 哎出  | 安出  | 安出  | 阿楚  | 
achua | 阿川   | 啊出啊   | 錒出啊  | 錒歘  | 錒歘  | 啊出啊  | 按歘  | 按歘  | 爱歘  | 爱歘  | 哎歘  | 哎歘  | 安歘  | 安歘  | 阿歘  | 阿歘  | 
